Model Outputs
100
,,Sub2:LHeadAngles,,,Sub2:LNeckAngles,,,Sub2:LThoraxAngles,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg
1,0,1.09703,2.61474,-0.971376,-7.53068,-4.55216,4.96305,6.33587,-2.0861,3.65756
2,0,1.10027,2.615,-0.974947,-7.5345,-4.55314,4.96628,6.33612,-2.08737,3.65705
3,0,1.10383,2.61524,-0.979135,-7.53842,-4.55419,4.96987,6.33611,-2.08881,3.65629
4,0,1.10722,2.61541,-0.98361,-7.54183,-4.55519,4.97352,6.33573,-2.0903,3.65533
5,0,1.1099,2.61545,-0.988059,-7.54414,-4.55598,4.97701,6.33497,-2.09168,3.65431
6,0,1.11151,2.6153,-0.992299,-7.54496,-4.55645,4.98026,6.33383,-2.09287,3.65334
7,0,1.11193,2.61495,-0.996274,-7.54423,-4.55651,4.98326,6.33235,-2.09377,3.65248
8,0,1.11137,2.61448,-0.999981,-7.54223,-4.55616,4.98597,6.33062,-2.09432,3.65166
9,0,1.11031,2.61402,-1.00343,-7.53959,-4.55546,4.98828,6.32879,-2.09446,3.65073
10,0,1.10934,2.61376,-1.00665,-7.53705,-4.55454,4.99011,6.32699,-2.09415,3.6495
11,0,1.10905,2.61384,-1.00969,-7.53541,-4.55352,4.99138,6.32541,-2.09341,3.64782
12,0,1.10989,2.61439,-1.01261,-7.53526,-4.55257,4.99206,6.32421,-2.09229,3.64555
13,0,1.11204,2.61549,-1.01549,-7.53694,-4.55189,4.99221,6.32351,-2.09092,3.64262
14,0,1.11545,2.61721,-1.01849,-7.54046,-4.55168,4.992,6.32336,-2.0895,3.63907
15,0,1.11982,2.61954,-1.02176,-7.54556,-4.55216,4.99178,6.32379,-2.08821,3.63508
16,0,1.12469,2.62253,-1.0254,-7.55179,-4.55354,4.99187,6.32478,-2.08724,3.63091
17,0,1.12953,2.62626,-1.02934,-7.5586,-4.55603,4.99248,6.32633,-2.0867,3.62684
18,0,1.13383,2.63079,-1.03329,-7.56541,-4.55974,4.99359,6.32839,-2.08659,3.62315
19,0,1.13722,2.63604,-1.03683,-7.57172,-4.56461,4.995,6.33085,-2.08685,3.62009
20,0,1.13957,2.64182,-1.03952,-7.57716,-4.57039,4.99637,6.33354,-2.08739,3.61779
21,0,1.141,2.64776,-1.04105,-7.58154,-4.57663,4.99728,6.33618,-2.08804,3.61623
22,0,1.14182,2.65332,-1.04135,-7.58494,-4.5826,4.99747,6.33856,-2.08862,3.61524
23,0,1.1425,2.65785,-1.04062,-7.58777,-4.58739,4.99679,6.34062,-2.08888,3.61457
24,0,1.14357,2.66076,-1.03919,-7.59076,-4.59016,4.99523,6.34257,-2.08866,3.61391
25,0,1.14558,2.66165,-1.03741,-7.59483,-4.59042,4.99282,6.34476,-2.0879,3.61297
26,0,1.14897,2.66052,-1.03561,-7.60083,-4.58811,4.98969,6.34756,-2.08662,3.61152
27,0,1.15402,2.65764,-1.03405,-7.6093,-4.58355,4.9861,6.35121,-2.08491,3.60949
28,0,1.16085,2.65359,-1.033,-7.62049,-4.57733,4.98252,6.35579,-2.08285,3.607
29,0,1.16949,2.64918,-1.03264,-7.63438,-4.57038,4.97956,6.36122,-2.08055,3.60438
30,0,1.17993,2.64544,-1.03307,-7.65078,-4.56386,4.97776,6.36727,-2.07819,3.60194
31,0,1.19211,2.64334,-1.0342,-7.66932,-4.55899,4.97739,6.37361,-2.076,3.59992
32,0,1.20588,2.64361,-1.0357,-7.68953,-4.55678,4.9783,6.37992,-2.07421,3.59842
33,0,1.22106,2.64651,-1.03707,-7.71082,-4.5578,4.98002,6.38582,-2.07305,3.59746
34,0,1.23743,2.65189,-1.0377,-7.73259,-4.56217,4.98184,6.39098,-2.07269,3.59699
35,0,1.25476,2.65917,-1.03698,-7.75422,-4.56947,4.98307,6.39507,-2.0732,3.59701
36,0,1.27281,2.66745,-1.03443,-7.77519,-4.57882,4.98312,6.39786,-2.07451,3.59757
37,0,1.29137,2.67569,-1.02976,-7.79516,-4.58905,4.98168,6.39933,-2.07642,3.59876
38,0,1.31019,2.68289,-1.02294,-7.81404,-4.59898,4.97866,6.39962,-2.07875,3.60069
39,0,1.3291,2.6881,-1.01418,-7.83194,-4.60751,4.97415,6.39906,-2.08136,3.60337
40,0,1.34798,2.69055,-1.00382,-7.84905,-4.61374,4.96827,6.39794,-2.08418,3.60667
41,0,1.36685,2.68973,-0.992357,-7.86564,-4.61714,4.96116,6.39649,-2.08723,3.61029
42,0,1.38582,2.68555,-0.980423,-7.88208,-4.61757,4.95313,6.39489,-2.09058,3.61393
43,0,1.40511,2.67821,-0.968796,-7.89883,-4.61522,4.94479,6.39337,-2.0943,3.61735
44,0,1.42493,2.66817,-0.958337,-7.91646,-4.61043,4.937,6.39214,-2.09844,3.62052
45,0,1.44549,2.65593,-0.949862,-7.93551,-4.60361,4.93077,6.3915,-2.10304,3.62353
46,0,1.46694,2.64201,-0.944066,-7.95641,-4.59523,4.92711,6.39163,-2.10813,3.62659
47,0,1.4894,2.62685,-0.941544,-7.97929,-4.58561,4.92687,6.39249,-2.11369,3.62994
48,0,1.513,2.6107,-0.942794,-8.00389,-4.5748,4.93063,6.39365,-2.11962,3.63363
49,0,1.53794,2.59352,-0.94812,-8.02991,-4.56257,4.93859,6.39456,-2.12573,3.63757
50,0,1.56458,2.57499,-0.957606,-8.05731,-4.54841,4.95057,6.39489,-2.13186,3.64156
51,0,1.59338,2.55462,-0.971205,-8.08642,-4.53171,4.96613,6.3945,-2.13789,3.64526
52,0,1.62486,2.53182,-0.988843,-8.11773,-4.51181,4.98473,6.39339,-2.14374,3.64829
53,0,1.65949,2.50591,-1.01043,-8.15186,-4.48801,5.00591,6.39174,-2.14943,3.65034
54,0,1.69764,2.47614,-1.03577,-8.18935,-4.45962,5.02927,6.38977,-2.15496,3.6513
55,0,1.73949,2.44191,-1.0645,-8.23055,-4.42602,5.05438,6.38771,-2.16031,3.6512
56,0,1.785,2.40281,-1.09613,-8.2755,-4.38681,5.08089,6.38568,-2.1654,3.65021
57,0,1.83397,2.35856,-1.13031,-8.32406,-4.34174,5.10858,6.38382,-2.17023,3.64858
58,0,1.88608,2.3089,-1.16691,-8.37605,-4.29058,5.13756,6.38229,-2.17481,3.64657
59,0,1.94102,2.25343,-1.20615,-8.43126,-4.23295,5.16819,6.38121,-2.1792,3.64444
60,0,1.99857,2.19174,-1.24855,-8.48952,-4.16835,5.2011,6.38063,-2.18338,3.64239
61,0,2.05864,2.12337,-1.2948,-8.55068,-4.09611,5.23696,6.38048,-2.18725,3.64052
62,0,2.12125,2.04795,-1.34552,-8.61458,-4.01564,5.27631,6.38058,-2.19069,3.63885
63,0,2.18645,1.96527,-1.40092,-8.68099,-3.92658,5.31927,6.3807,-2.1936,3.63735
64,0,2.25413,1.87538,-1.46066,-8.74948,-3.82904,5.36538,6.38054,-2.19594,3.63596
65,0,2.32407,1.7786,-1.52395,-8.81946,-3.72349,5.41373,6.37983,-2.19779,3.63454
66,0,2.39587,1.6753,-1.58995,-8.89025,-3.61055,5.46339,6.37834,-2.19924,3.63297
67,0,2.46906,1.56572,-1.65818,-8.96113,-3.49069,5.51378,6.37592,-2.20045,3.63118
68,0,2.54311,1.44996,-1.72885,-9.03148,-3.3641,5.56507,6.37247,-2.20154,3.62914
69,0,2.61766,1.32797,-1.80266,-9.10086,-3.23076,5.61793,6.36791,-2.20263,3.62688
70,0,2.6925,1.19978,-1.88031,-9.16906,-3.09069,5.67308,6.36224,-2.20381,3.62445
71,0,2.76755,1.06559,-1.96201,-9.23602,-2.94412,5.73079,6.3555,-2.20516,3.62189
72,0,2.84278,0.925849,-2.04755,-9.30189,-2.79158,5.79093,6.3479,-2.20675,3.61921
73,0,2.9183,0.781281,-2.13653,-9.36708,-2.63389,5.85321,6.33976,-2.20864,3.61645
74,0,2.99437,0.632792,-2.22862,-9.43217,-2.47196,5.91743,6.33142,-2.21083,3.61356
75,0,3.07136,0.481179,-2.32375,-9.49769,-2.30654,5.98347,6.32303,-2.21328,3.61039
76,0,3.14955,0.326961,-2.42189,-9.56392,-2.13806,6.05117,6.31463,-2.21595,3.60675
77,0,3.22898,0.170388,-2.52294,-9.63101,-1.96672,6.12039,6.30636,-2.21879,3.60255
78,0,3.30958,0.0114781,-2.62673,-9.69908,-1.79258,6.19102,6.29843,-2.22181,3.5979
79,0,3.39132,-0.150005,-2.73305,-9.76828,-1.61544,6.26303,6.29108,-2.22506,3.59302
80,0,3.47434,-0.314495,-2.84168,-9.83876,-1.43495,6.33624,6.28438,-2.22857,3.58806
